"consolidation","contest","candidate","type","votes"
"280810-MONTEZUMA","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",1
"280810-MONTEZUMA","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",190
"280810-MONTEZUMA","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",43
"281510-MONTEZUMA","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"281510-MONTEZUMA","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",21
"281510-MONTEZUMA","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",332
"281510-MONTEZUMA","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",0
"281510-MONTEZUMA","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",105
"281510-MONTEZUMA","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",25
"281700-MONTEZUMA","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"281700-MONTEZUMA","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",3
"281700-MONTEZUMA","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",182
"281700-MONTEZUMA","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",1
"281700-MONTEZUMA","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",43
"281700-MONTEZUMA","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",14
"281800-MONTEZUMA","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"281800-MONTEZUMA","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",9
"281800-MONTEZUMA","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",154
"281800-MONTEZUMA","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",1
"281800-MONTEZUMA","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",58
"281800-MONTEZUMA","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",13
"281805-SDSU-DROP OFF","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"281805-SDSU-DROP OFF","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",26
"281805-SDSU-DROP OFF","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",393
"281805-SDSU-DROP OFF","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",3
"281805-SDSU-DROP OFF","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",88
"281805-SDSU-DROP OFF","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",33
"282400-MONTEZUMA","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"282400-MONTEZUMA","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",16
"282400-MONTEZUMA","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",350
"282400-MONTEZUMA","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",3
"282400-MONTEZUMA","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",104
"282400-MONTEZUMA","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",27
"282500-MONTEZUMA","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"282500-MONTEZUMA","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",42
"282500-MONTEZUMA","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",699
"282500-MONTEZUMA","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",1
"282500-MONTEZUMA","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",251
"282500-MONTEZUMA","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",51
"282610-MONTEZUMA","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"282610-MONTEZUMA","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",23
"282610-MONTEZUMA","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",588
"282610-MONTEZUMA","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",1
"282610-MONTEZUMA","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",201
"282610-MONTEZUMA","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",40
"282620-MONTEZUMA","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"282620-MONTEZUMA","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",8
"282620-MONTEZUMA","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",301
"282620-MONTEZUMA","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",0
"282620-MONTEZUMA","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",75
"282620-MONTEZUMA","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",21
"283700-MONTEZUMA","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"283700-MONTEZUMA","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",10
"283700-MONTEZUMA","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",480
"283700-MONTEZUMA","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",3
"283700-MONTEZUMA","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",149
"283700-MONTEZUMA","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",38
"284000-MONTEZUMA","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"284000-MONTEZUMA","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",23
"284000-MONTEZUMA","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",480
"284000-MONTEZUMA","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",1
"284000-MONTEZUMA","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",173
"284000-MONTEZUMA","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",24
"290100-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"290100-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",13
"290100-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",585
"290100-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",3
"290100-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",102
"290100-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",21
"290410-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"290410-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",21
"290410-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",824
"290410-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",6
"290410-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",154
"290410-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",30
"290600-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"290600-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",31
"290600-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",651
"290600-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",8
"290600-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",104
"290600-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",30
"291000-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"291000-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",16
"291000-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",576
"291000-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",5
"291000-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",234
"291000-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",23
"291200-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"291200-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",15
"291200-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",672
"291200-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",8
"291200-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",191
"291200-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",23
"291600-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"291600-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",22
"291600-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",608
"291600-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",6
"291600-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",91
"291600-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",18
"291750-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"291750-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",6
"291750-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",544
"291750-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",2
"291750-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",161
"291750-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",14
"293200-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"293200-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",30
"293200-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",797
"293200-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",2
"293200-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",185
"293200-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",48
"293600-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"293600-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",13
"293600-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",709
"293600-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",2
"293600-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",172
"293600-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",31
"293800-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"293800-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",18
"293800-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",628
"293800-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",7
"293800-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",270
"293800-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",39
"294400-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"294400-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",16
"294400-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",551
"294400-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",2
"294400-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",170
"294400-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",22
"294800-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"294800-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",16
"294800-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",547
"294800-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",2
"294800-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",189
"294800-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",41
"295010-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"295010-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",28
"295010-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",485
"295010-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",0
"295010-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",216
"295010-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",28
"295200-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"295200-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",20
"295200-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",616
"295200-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",3
"295200-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",197
"295200-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",38
"296800-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"296800-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",12
"296800-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",479
"296800-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",1
"296800-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",175
"296800-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",23
"297200-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"297200-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",15
"297200-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",620
"297200-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",1
"297200-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",207
"297200-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",44
"297210-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"297210-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",8
"297210-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",184
"297210-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",0
"297210-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",53
"297210-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",17
"297230-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"297230-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",16
"297230-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",273
"297230-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",0
"297230-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",98
"297230-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",12
"297500-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"297500-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",24
"297500-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",361
"297500-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",2
"297500-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",175
"297500-ROLANDO REDWOOD","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",33
"300000-CITY HEIGHTS","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"300000-CITY HEIGHTS","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",37
"300000-CITY HEIGHTS","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",977
"300000-CITY HEIGHTS","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",4
"300000-CITY HEIGHTS","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",170
"300000-CITY HEIGHTS","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",22
"300200-CITY HEIGHTS","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"300200-CITY HEIGHTS","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",30
"300200-CITY HEIGHTS","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",649
"300200-CITY HEIGHTS","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",4
"300200-CITY HEIGHTS","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",142
"300200-CITY HEIGHTS","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",26
"300410-CITY HEIGHTS","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"300410-CITY HEIGHTS","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",40
"300410-CITY HEIGHTS","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",849
"300410-CITY HEIGHTS","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",6
"300410-CITY HEIGHTS","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",159
"300410-CITY HEIGHTS","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",39
"301200-CITY HEIGHTS","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"301200-CITY HEIGHTS","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",21
"301200-CITY HEIGHTS","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",694
"301200-CITY HEIGHTS","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",4
"301200-CITY HEIGHTS","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",119
"301200-CITY HEIGHTS","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",14
"301300-CITY HEIGHTS","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"301300-CITY HEIGHTS","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",18
"301300-CITY HEIGHTS","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",377
"301300-CITY HEIGHTS","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",1
"301300-CITY HEIGHTS","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",62
"301300-CITY HEIGHTS","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",12
"301400-CITY HEIGHTS","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"301400-CITY HEIGHTS","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",16
"301400-CITY HEIGHTS","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",393
"301400-CITY HEIGHTS","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",4
"301400-CITY HEIGHTS","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",58
"301400-CITY HEIGHTS","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",18
"301700-CITY HEIGHTS","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"301700-CITY HEIGHTS","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",19
"301700-CITY HEIGHTS","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",468
"301700-CITY HEIGHTS","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",4
"301700-CITY HEIGHTS","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",102
"301700-CITY HEIGHTS","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",18
"302100-CITY HEIGHTS","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"302100-CITY HEIGHTS","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",37
"302100-CITY HEIGHTS","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",829
"302100-CITY HEIGHTS","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",9
"302100-CITY HEIGHTS","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",167
"302100-CITY HEIGHTS","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",29
"302800-CITY HEIGHTS","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"302800-CITY HEIGHTS","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",16
"302800-CITY HEIGHTS","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",796
"302800-CITY HEIGHTS","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",1
"302800-CITY HEIGHTS","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",244
"302800-CITY HEIGHTS","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",41
"305200-SOUTH PARK","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"305200-SOUTH PARK","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",24
"305200-SOUTH PARK","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",827
"305200-SOUTH PARK","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",2
"305200-SOUTH PARK","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",233
"305200-SOUTH PARK","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",39
"305600-SOUTH PARK","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"305600-SOUTH PARK","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",23
"305600-SOUTH PARK","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",750
"305600-SOUTH PARK","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",2
"305600-SOUTH PARK","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",138
"305600-SOUTH PARK","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",32
"306200-SOUTH PARK","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"306200-SOUTH PARK","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",30
"306200-SOUTH PARK","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",763
"306200-SOUTH PARK","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",2
"306200-SOUTH PARK","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",107
"306200-SOUTH PARK","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",40
"306400-SOUTH PARK","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"306400-SOUTH PARK","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",27
"306400-SOUTH PARK","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",836
"306400-SOUTH PARK","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",0
"306400-SOUTH PARK","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",127
"306400-SOUTH PARK","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",27
"306600-SOUTH PARK","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"306600-SOUTH PARK","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",13
"306600-SOUTH PARK","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",481
"306600-SOUTH PARK","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",1
"306600-SOUTH PARK","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",86
"306600-SOUTH PARK","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",15
"307000-SOUTH PARK","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"307000-SOUTH PARK","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",33
"307000-SOUTH PARK","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",811
"307000-SOUTH PARK","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",3
"307000-SOUTH PARK","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",158
"307000-SOUTH PARK","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",47
"307400-SOUTH PARK","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"307400-SOUTH PARK","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",29
"307400-SOUTH PARK","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",582
"307400-SOUTH PARK","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",1
"307400-SOUTH PARK","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",96
"307400-SOUTH PARK","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",23
"307500-SOUTH PARK","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"307500-SOUTH PARK","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",32
"307500-SOUTH PARK","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",674
"307500-SOUTH PARK","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",3
